一级分类,二级分类,品名,最低价,平均价,最高价,规格,产地,单位,发布日期
水果,苹果类,丑苹果,2.8,3.65,4.5,,,斤,2025-12-12 00:00:00
水果,苹果类,辽宁寒富苹果,2.5,2.65,2.8,,,斤,2025-12-12 00:00:00
水果,苹果类,国光苹果,2.4,2.55,2.7,,,斤,2025-12-12 00:00:00
水果,苹果类,丑苹果,2.8,3.65,4.5,,,斤,2025-12-11 00:00:00
水果,苹果类,辽宁寒富苹果,2.5,2.65,2.8,,,斤,2025-12-11 00:00:00
水果,苹果类,国光苹果,2.4,2.55,2.7,,,斤,2025-12-11 00:00:00
水果,进口果,青苹果,13.0,13.25,13.5,,美国,斤,2025-12-10 00:00:00
水果,苹果类,丑苹果,2.8,3.65,4.5,,,斤,2025-12-10 00:00:00
水果,苹果类,辽宁寒富苹果,2.5,2.65,2.8,,,斤,2025-12-10 00:00:00
水果,苹果类,国光苹果,2.4,2.55,2.7,,,斤,2025-12-10 00:00:00
水果,苹果类,丑苹果,2.8,3.65,4.5,,,斤,2025-12-09 00:00:00
水果,苹果类,辽宁寒富苹果,2.5,2.65,2.8,,,斤,2025-12-09 00:00:00
水果,苹果类,国光苹果,2.4,2.55,2.7,,,斤,2025-12-09 00:00:00
水果,苹果类,2.8,3.65,4.5,,,斤,2025-12-08 00:00:00
水果,苹果类,辽宁寒富苹果,2.5,2.65,2.8,,,斤,2025-12-08 00:00:00
水果,苹果类,国光苹果,2.4,2.55,2.7,,,斤,2025-12-08 00:00:00
水果,苹果类,丑苹果,2.8,3.65,4.5,,,斤,2025-12-07 00:00:00
水果,苹果类,辽宁寒富苹果,2.5,2.65,2.8,,,斤,2025-12-07 00:00:00
水果,苹果类,国光苹果,2.4,2.55,2.7,,,斤,2025-12-07 00:00:00
水果,苹果类,丑苹果,2.8,3.65,4.5,,,斤,2025-12-06 00:00:00
水果,苹果类,辽宁寒富苹果,2.5,2.65,2.8,,,斤,2025-12-06 00:00:00
水果,苹果类,国光苹果,2.4,2.55,2.7,,,斤,2025-12-06 00:00:00
水果,苹果类,丑苹果,2.8,3.65,4.5,,,斤,2025-12-05 00:00:00
水果,苹果类,辽宁寒富苹果,2.5,2.65,2.8,,,斤,2025-12-05 00:00:00
水果,苹果类,国光苹果,2.4,2.55,2.7,,,斤,2025-12-05 00:00:00
水果,苹果类,丑苹果,2.8,3.65,4.5,,,斤,2025-12-04 00:00:00
水果,苹果类,辽宁寒富苹果,2.5,2.65,2.8,,,斤,2025-12-04 00:00:00
水果,苹果类,国光苹果,2.4,2.55,2.7,,,斤,2025-12-04 00:00:00
水果,苹果类,丑苹果,2.8,3.3,3.8,,,斤,2025-12-03 00:00:00
水果,苹果类,辽宁寒富苹果,2.5,2.65,2.8,,,斤,2025-12-03 00:00:00
水果,苹果类,国光苹果,2.4,2.55,2.7,,,斤,2025-12-03 00:00:00
水果,苹果类,丑苹果,2.8,3.3,3.8,,,斤,2025-12-02 00:00:00
水果,苹果类,辽宁寒富苹果,2.5,2.65,2.8,,,斤,2025-12-02 00:00:00
水果,苹果类,国光苹果,2.4,2.55,2.7,,,斤,2025-12-02 00:00:00
水果,苹果类,丑苹果,3.5,4.0,4.5,,,斤,2025-12-01 00:00:00
水果,苹果类,辽宁寒富苹果,2.5,2.65,2.8,,,斤,2025-12-01 00:00:00
水果,苹果类,国光苹果,2.4,2.55,2.7,,,斤,2025-12-01 00:00:00
水果,进口果,青苹果,13.0,13.25,13.5,,美国,斤,2025-11-30 00:00:00
水果,苹果类,丑苹果,3.5,4.0,4.5,,,斤,2025-11-30 00:00:00
水果,苹果类,辽宁寒富苹果,2.5,2.65,2.8,,,斤,2025-11-30 00:00:00
水果,苹果类,国光苹果,2.4,2.55,2.7,,,斤,2025-11-30 00:00:00
水果,苹果类,丑苹果,3.5,4.0,4.5,,,斤,2025-11-29 00:00:00
水果,苹果类,辽宁寒富苹果,2.5,2.65,2.8,,,斤,2025-11-29 00:00:00
水果,苹果类,国光苹果,2.4,2.55,2.7,,,斤,2025-11-29 00:00:00
水果,苹果类,丑苹果,3.5,4.0,4.5,,,斤,2025-11-28 00:00:00
水果,苹果类,辽宁寒富苹果,2.5,2.65,2.8,,,斤,2025-11-28 00:00:00
水果,苹果类,国光苹果,2.4,2.55,2.7,,,斤,2025-11-28 00:00:00
水果,苹果类,丑苹果,3.5,4.0,4.5,,,斤,2025-11-27 00:00:00
水果,苹果类,辽宁寒富苹果,2.5,2.65,2.8,,,斤,2025-11-27 00:00:00
水果,苹果类,国光苹果,2.4,2.55,2.7,,,斤,2025-11-27 00:00:00
水果,苹果类,丑苹果,3.5,4.0,4.5,,,斤,2025-11-26 00:00:00
水果,苹果类,辽宁寒富苹果,2.5,2.65,2.8,,,斤,2025-11-26 00:00:00
水果,苹果类,国光苹果,2.4,2.55,2.7,,,斤,2025-11-26 00:00:00
水果,苹果类,丑苹果,3.5,4.0,4.5,,,斤,2025-11-25 00:00:00
水果,苹果类,辽宁寒富苹果,2.5,2.65,2.8,,,斤,2025-11-25 00:00:00
水果,苹果类,国光苹果,2.4,2.55,2.7,,,斤,2025-11-25 00:00:00
水果,苹果类,丑苹果,3.5,4.0,4.5,,,斤,2025-11-24 00:00:00
水果,苹果类,辽宁寒富苹果,2.5,2.65,2.8,,,斤,2025-11-24 00:00:00
水果,苹果类,国光苹果,2.4,2.55,2.7,,,斤,2025-11-24 00:00:00
水果,苹果类,丑苹果,3.5,4.0,4.5,,,斤,2025-11-23 00:00:00
水果,苹果类,辽宁寒富苹果,2.5,2.65,2.8,,,斤,2025-11-23 00:00:00
水果,苹果类,国光苹果,2.4,2.55,2.7,,,斤,2025-11-23 00:00:00
水果,苹果类,丑苹果,3.5,4.0,4.5,,,斤,2025-11-22 00:00:00
水果,苹果类,辽宁寒富苹果,2.5,2.65,2.8,,,斤,2025-11-22 00:00:00
水果,苹果类,国光苹果,2.4,2.55,2.7,,,斤,2025-11-22 00:00:00
水果,苹果类,丑苹果,3.5,4.0,4.5,,,斤,2025-11-21 00:00:00
水果,苹果类,辽宁寒富苹果,2.5,2.65,2.8,,,斤,2025-11-21 00:00:00
水果,苹果类,国光苹果,2.4,2.55,2.7,,,斤,2025-11-21 00:00:00
水果,进口果,青苹果,13.0,13.25,13.5,,美国,斤,2025-11-20 00:00:00
水果,苹果类,丑苹果,3.5,4.0,4.5,,,斤,2025-11-20 00:00:00
