规格,平均价,发布日期
,2.95,2025-11-30
,2.95,2025-11-20
,2.95,2025-11-10
,2.95,2025-10-31
,2.95,2025-10-20
,2.95,2025-10-10
,2.95,2025-09-30
,2.95,2025-09-20
,2.95,2025-09-10
,2.95,2025-08-31
,2.95,2025-08-20
,2.95,2025-08-10
,2.95,2025-07-31
,2.95,2025-07-20
,2.95,2025-07-10
,2.95,2025-06-30
,2.95,2025-06-20
,2.95,2025-06-10
,2.95,2025-05-31
,2.95,2025-05-20
,2.95,2025-05-10
,2.95,2025-04-30
,2.95,2025-04-20
,2.95,2025-04-10
,2.95,2025-03-31
,2.95,2025-03-20
,2.95,2025-03-10
,2.95,2025-02-28
,2.95,2025-02-20
,2.95,2025-02-10
,2.95,2025-01-20
,2.95,2025-01-10
,2.95,2024-12-31
,2.95,2024-12-20
,2.95,2024-12-10
,2.95,2024-11-30
,2.95,2024-11-20
,2.95,2024-11-10
,2.95,2024-10-31
,2.95,2024-10-20
,2.95,2024-10-10
,2.95,2024-09-30
,2.95,2024-09-20
,2.95,2024-09-10
,2.95,2024-08-31
,2.95,2024-08-20
,2.95,2024-08-10
,2.95,2024-07-31
,2.95,2024-07-20
,2.95,2024-07-10
,2.95,2024-06-30
,2.95,2024-06-20
,2.95,2024-06-10
,2.95,2024-05-31
,2.95,2024-05-20
,2.95,2024-05-10
,2.95,2024-04-30
,2.95,2024-04-20
,2.95,2024-04-10
,2.95,2024-03-31
,2.95,2024-03-20
,2.95,2024-03-10
,2.95,2024-02-29
,2.95,2024-02-20
,2.95,2024-01-31
,2.95,2024-01-20
,2.95,2024-01-10
,2.95,2023-12-31
,2.95,2023-12-20
,2.95,2023-12-10
,2.95,2023-11-30
,2.95,2023-11-20
,2.95,2023-11-10
,2.95,2023-10-31
,2.95,2023-10-20
,2.95,2023-10-10
,2.95,2023-09-30
,2.95,2023-09-20
,2.95,2023-09-10
,2.95,2023-08-31
,2.95,2023-08-20
,2.95,2023-08-10
,2.95,2023-07-31
,2.95,2023-07-20
,2.95,2023-07-10
,2.95,2023-06-30
,2.95,2023-06-20
,2.95,2023-06-10
